,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,NORMALIZED_PLAYER_NAME
593,2008,12255,Jiri,Hubalek,Jiri Hubalek,C-PF,81.5,6' 9.5'',83.0,6' 11'',226.0,82.75,6' 10.75'',109.0,9' 1'',8.8,,,20.5,26.0,12.26,,3.54,2.0,jiri-hubalek
594,2008,201991,Lester,Hudson,Lester Hudson,PG,71.75,5' 11.75'',73.0,6' 1'',196.0,80.75,6' 8.75'',98.5,8' 2.5'',3.4,,,30.5,36.0,11.15,,3.16,12.0,lester-hudson
595,2018,1628989,Kevin,Huerter,Kevin Huerter,SG,78.25,6' 6.25'',79.25,6' 7.25'',194.0,79.5,6' 7.5'',101.5,8' 5.5'',8.6,8.25,8.5,31.0,38.0,10.89,2.97,3.09,9.0,kevin-huerter
596,2007,12216,James,Hughes,James Hughes,C,81.0,6' 9'',82.75,6' 10.75'',209.0,87.0,7' 3'',111.0,9' 3'',3.5,,,31.0,33.0,13.31,,3.37,8.0,james-hughes
597,2020,1630190,Elijah,Hughes,Elijah Hughes,SF-SG,76.75,6'4.75'',78.5,6'6.50'',229.0,79.5,6'7.50'',101.5,8'5.50'',10.2,8.5,8.75,,,,,,,elijah-hughes
598,2012,203133,Robbie,Hummel,Robbie Hummel,SF,79.25,6' 7.25'',80.5,6' 8.5'',218.0,80.5,6' 8.5'',102.0,8' 6'',9.4,8.5,9.5,27.5,30.0,11.56,,3.41,13.0,robbie-hummel
599,2002,2415,Ryan,Humphrey,Ryan Humphrey,PF-SF,78.0,6' 6'',,,223.0,84.0,7' 0'',104.5,8' 8.5'',,,,31.5,37.5,11.75,,3.2,13.0,ryan-humphrey
600,2004,2743,Kris,Humphries,Kris Humphries,PF,80.25,6' 8.25'',81.5,6' 9.5'',238.0,84.5,7' 0.5'',106.5,8' 10.5'',6.7,,,29.5,36.0,11.33,,3.2,22.0,kris-humphries
601,2007,12217,Jeremy,Hunt,Jeremy Hunt,SG,74.0,6' 2'',76.75,6' 4.75'',198.0,80.25,6' 8.25'',101.5,8' 5.5'',5.2,,,30.5,33.0,12.11,,3.29,10.0,jeremy-hunt
602,2000,2111,Jimmie,Hunter,Jimmie Hunter,SG-PG,75.0,6' 3'',,,170.0,80.0,6' 8'',100.0,8' 4'',,,,29.0,36.0,11.23,,3.35,0.0,jimmie-hunter
603,2001,2212,Steven,Hunter,Steven Hunter,C-PF,82.25,6' 10.25'',,,224.0,88.0,7' 4'',108.0,9' 0'',5.3,,,30.5,38.5,11.99,,3.15,11.0,steven-hunter
604,2003,2599,Brandon,Hunter,Brandon Hunter,PF,78.5,6' 6.5'',,,266.0,86.75,7' 2.75'',105.5,8' 9.5'',8.0,,,32.5,35.0,11.13,,3.21,25.0,brandon-hunter
